freq_MHz,alpha_dBmm_eta0.5,c_phase_eta0.5,alpha_dBmm_eta2.0,c_phase_eta2.0,alpha_dBmm_eta10.0,c_phase_eta10.0,alpha_dBmm_eta50.0,c_phase_eta50.0
25.843687,-3534.827238,398.9824,-1767.454439,797.9832,-790.434523,1784.3556,-353.493500,3989.9454
25.941884,-3541.536798,399.7397,-1770.809142,799.4978,-791.934782,1787.7424,-354.164436,3997.5184
26.040080,-3548.233670,400.4956,-1774.157501,801.0095,-793.432204,1791.1227,-354.834103,4005.0770
26.138277,-3554.917927,401.2501,-1777.499553,802.5184,-794.926806,1794.4967,-355.502508,4012.6215
26.236473,-3561.589639,402.0031,-1780.835333,804.0245,-796.418603,1797.8643,-356.169659,4020.1517
26.334669,-3568.248876,402.7547,-1784.164876,805.5277,-797.907611,1801.2257,-356.835563,4027.6679
26.432866,-3574.895709,403.5050,-1787.488217,807.0282,-799.393846,1804.5807,-357.500226,4035.1701
26.531062,-3581.530206,404.2538,-1790.805391,808.5258,-800.877322,1807.9296,-358.163656,4042.6583
26.629259,-3588.152436,405.0013,-1794.116431,810.0207,-802.358055,1811.2723,-358.825860,4050.1327
26.727455,-3594.762466,405.7474,-1797.421373,811.5129,-803.836061,1814.6088,-359.486843,4057.5934
26.825651,-3601.360365,406.4921,-1800.720248,813.0023,-805.311355,1817.9391,-360.146614,4065.0403
26.923848,-3607.946197,407.2354,-1804.013091,814.4890,-806.783950,1821.2634,-360.805178,4072.4736
27.022044,-3614.520030,407.9774,-1807.299935,815.9729,-808.253863,1824.5817,-361.462542,4079.8934
27.120240,-3621.081929,408.7181,-1810.580812,817.4542,-809.721107,1827.8939,-362.118713,4087.2998
27.218437,-3627.631958,409.4574,-1813.855755,818.9328,-811.185697,1831.2001,-362.773697,4094.6927
27.316633,-3634.170182,410.1954,-1817.124795,820.4087,-812.647648,1834.5004,-363.427500,4102.0723
27.414830,-3640.696664,410.9321,-1820.387965,821.8820,-814.106973,1837.7947,-364.080129,4109.4386
27.513026,-3647.211467,411.6674,-1823.645296,823.3526,-815.563687,1841.0831,-364.731591,4116.7918
27.611222,-3653.714654,412.4014,-1826.896819,824.8207,-817.017804,1844.3657,-365.381891,4124.1318
27.709419,-3660.206287,413.1341,-1830.142565,826.2861,-818.469338,1847.6424,-366.031036,4131.4589
27.807615,-3666.686426,413.8656,-1833.382565,827.7489,-819.918302,1850.9134,-366.679031,4138.7729
27.905812,-3673.155133,414.5957,-1836.616849,829.2091,-821.364709,1854.1786,-367.325884,4146.0740
28.004008,-3679.612469,415.3246,-1839.845448,830.6668,-822.808574,1857.4380,-367.971599,4153.3623
28.102204,-3686.058492,416.0521,-1843.068391,832.1219,-824.249910,1860.6917,-368.616183,4160.6379
28.200401,-3692.493263,416.7784,-1846.285708,833.5745,-825.688730,1863.9398,-369.259642,4167.9007
28.298597,-3698.916839,417.5035,-1849.497429,835.0246,-827.125047,1867.1822,-369.901982,4175.1509
28.396794,-3705.329280,418.2273,-1852.703581,836.4721,-828.558874,1870.4189,-370.543208,4182.3886
28.494990,-3711.730642,418.9498,-1855.904195,837.9171,-829.990224,1873.6501,-371.183327,4189.6137
28.593186,-3718.120983,419.6711,-1859.099299,839.3597,-831.419110,1876.8757,-371.822343,4196.8264
28.691383,-3724.500360,420.3911,-1862.288921,840.7997,-832.845544,1880.0958,-372.460264,4204.0267
