h2_um,E2_Pa,T_abs
28.7172,210.49,0.00266304
29.2121,210.49,0.00243726
29.7071,210.49,0.00223062
30.2020,210.49,0.00204150
30.6970,210.49,0.00186841
31.1919,210.49,0.00170999
31.6869,210.49,0.00156500
32.1818,210.49,0.00143231
32.6768,210.49,0.00131087
33.1717,210.49,0.00119972
33.6667,210.49,0.00109800
34.1616,210.49,0.00100490
34.6566,210.49,0.00091969
35.1515,210.49,0.00084171
35.6465,210.49,0.00077034
36.1414,210.49,0.00070503
36.6364,210.49,0.00064525
37.1313,210.49,0.00059054
37.6263,210.49,0.00054047
38.1212,210.49,0.00049464
38.6162,210.49,0.00045270
39.1111,210.49,0.00041432
39.6061,210.49,0.00037919
40.1010,210.49,0.00034704
40.5960,210.49,0.00031761
41.0909,210.49,0.00029068
41.5859,210.49,0.00026604
42.0808,210.49,0.00024348
42.5758,210.49,0.00022283
43.0707,210.49,0.00020394
43.5657,210.49,0.00018665
44.0606,210.49,0.00017082
44.5556,210.49,0.00015634
45.0505,210.49,0.00014308
45.5455,210.49,0.00013095
46.0404,210.49,0.00011985
46.5354,210.49,0.00010969
47.0303,210.49,0.00010039
47.5253,210.49,0.00009187
48.0202,210.49,0.00008408
48.5152,210.49,0.00007696
49.0101,210.49,0.00007043
49.5051,210.49,0.00006446
50.0000,210.49,0.00005899
1.0000,231.01,0.67451331
1.4949,231.01,0.49611387
1.9899,231.01,0.39128119
2.4848,231.01,0.32287066
2.9798,231.01,0.27481058
3.4747,231.01,0.23916718
3.9697,231.01,0.21160449
4.4646,231.01,0.18956073
4.9596,231.01,0.17142765
5.4545,231.01,0.15614639
5.9495,231.01,0.14299347
6.4444,231.01,0.13146067
6.9394,231.01,0.12118405
7.4343,231.01,0.11190027
7.9293,231.01,0.10341825
8.4242,231.01,0.09560004
8.9192,231.01,0.08834712
9.4141,231.01,0.08159011
9.9091,231.01,0.07528072
10.4040,231.01,0.06938535
10.8990,231.01,0.06388002
11.3939,231.01,0.05874649
11.8889,231.01,0.05396942
12.3838,231.01,0.04953444
12.8788,231.01,0.04542700
13.3737,231.01,0.04163179
