freq_MHz,T_h4_330um_fres_10.0MHz,T_h4_165um_fres_19.9MHz,T_h4_110um_fres_29.9MHz,T_h4_82um_fres_40.1MHz,T_h4_66um_fres_49.8MHz
28.380345,0.02564628,0.00947549,0.11040142,0.01284724,0.00988505
28.405101,0.02712763,0.00950637,0.12400505,0.01308573,0.00998270
28.429857,0.02881156,0.00954586,0.13747510,0.01334412,0.01009047
28.454614,0.03073849,0.00959415,0.14790901,0.01362403,0.01020887
28.479370,0.03296019,0.00965147,0.15174415,0.01392726,0.01033847
28.504126,0.03554383,0.00971811,0.14736189,0.01425587,0.01047992
28.528882,0.03857796,0.00979440,0.13667135,0.01461221,0.01063393
28.553638,0.04218126,0.00988071,0.12325235,0.01499896,0.01080134
28.578395,0.04651559,0.00997749,0.10986528,0.01541919,0.01098306
28.603151,0.05180568,0.01008524,0.09782476,0.01587642,0.01118012
28.627907,0.05836856,0.01020454,0.08748458,0.01637475,0.01139369
28.652663,0.06665586,0.01033602,0.07876299,0.01691890,0.01162509
28.677419,0.07730574,0.01048042,0.07143633,0.01751441,0.01187581
28.702176,0.09116705,0.01063857,0.06526479,0.01816777,0.01214753
28.726932,0.10911661,0.01081142,0.06003591,0.01888665,0.01244220
28.751688,0.13102662,0.01100002,0.05557432,0.01968015,0.01276199
28.776444,0.15260685,0.01120558,0.05173936,0.02055921,0.01310944
28.801200,0.16254582,0.01142947,0.04841931,0.02153699,0.01348743
28.825956,0.15301700,0.01167325,0.04552558,0.02262954,0.01389932
28.850713,0.13222018,0.01193868,0.04298766,0.02385661,0.01434898
28.875469,0.11114241,0.01222780,0.04074909,0.02524273,0.01484094
28.900225,0.09384355,0.01254293,0.03876437,0.02681877,0.01538051
28.924981,0.08044443,0.01288675,0.03699653,0.02862404,0.01597396
28.949737,0.07012041,0.01326236,0.03541533,0.03070939,0.01662874
28.974494,0.06206912,0.01367335,0.03399585,0.03314164,0.01735377
28.999250,0.05568415,0.01412392,0.03271740,0.03601019,0.01815981
29.024006,0.05053427,0.01461900,0.03156270,0.03943716,0.01905996
29.048762,0.04631553,0.01516441,0.03051723,0.04359307,0.02007032
29.073518,0.04281173,0.01576705,0.02956871,0.04872210,0.02121091
29.098275,0.03986669,0.01643521,0.02870668,0.05518318,0.02250689
29.123031,0.03736563,0.01717889,0.02792224,0.06351751,0.02399034
29.147787,0.03522277,0.01801026,0.02720773,0.07455586,0.02570274
29.172543,0.03337294,0.01894427,0.02655656,0.08955916,0.02769866
29.197299,0.03176589,0.01999955,0.02596304,0.11022199,0.03005127
29.222056,0.03036237,0.02119948,0.02542221,0.13749207,0.03286072
29.246812,0.02913132,0.02257390,0.02492979,0.16557347,0.03626761
29.271568,0.02804791,0.02416144,0.02448203,0.17395877,0.04047472
29.296324,0.02709210,0.02601290,0.02407566,0.15328900,0.04578390
29.321080,0.02624756,0.02819650,0.02370783,0.12410567,0.05266004
29.345836,0.02550089,0.03080573,0.02337606,0.09999138,0.06184449
29.370593,0.02484105,0.03397208,0.02307816,0.08229467,0.07455030
29.395349,0.02425886,0.03788573,0.02281225,0.06939906,0.09272649
29.420105,0.02374669,0.04283094,0.02257668,0.05979556,0.11885018
